model_name,data_file,num_layers,layer_sizes,learning_rate,epochs,batch_size,training_duration,trained_at,mae,rmse,r2
model_2D_002__250408_172529,2D_002.csv,3,"[64, 32, 16]",0.001,1,32,7.074553,2025-04-08 17:25:29,0.05568076582658878,0.1339019621200097,0.9897811739326786
model_2D_002__250408_172924,2D_002.csv,3,"[64, 32, 16]",0.001,1,32,5.248043,2025-04-08 17:29:24,0.07761091337461677,0.14853176636223206,0.987426221173347
model_2D_002__250409_165344,2D_002.csv,3,"[128, 64, 32]",0.001,50,32,176.442042,2025-04-09 16:53:44,0.022275781566063923,0.07191591717299547,0.9970523414638515
model_2D_002__250409_165507,2D_002.csv,3,"[128, 64, 32]",0.001,50,64,81.287271,2025-04-09 16:55:07,0.02297561758500112,0.07197437803625639,0.9970475471787908
model_2D_002__250409_170118,2D_002.csv,3,"[128, 64, 32]",0.001,100,32,368.380736,2025-04-09 17:01:18,0.02215515062678963,0.07249991909127335,0.9970042734454941
model_2D_002__250409_170459,2D_002.csv,3,"[128, 64, 32]",0.001,100,64,218.241209,2025-04-09 17:04:59,0.02197534099333177,0.0720823283382525,0.9970386841029
model_2D_002__250409_170834,2D_002.csv,3,"[128, 64, 32]",0.0001,50,32,211.462746,2025-04-09 17:08:34,0.030208576336425923,0.0748341475449668,0.9968082655073932
model_2D_002__250409_171028,2D_002.csv,3,"[128, 64, 32]",0.0001,50,64,110.883825,2025-04-09 17:10:28,0.026587514823548365,0.07240498607079887,0.9970121136521694
model_2D_002__250409_171734,2D_002.csv,3,"[128, 64, 32]",0.0001,100,32,422.753851,2025-04-09 17:17:34,0.025913608643396494,0.07352241683483439,0.9969191775182066
model_2D_002__250409_172117,2D_002.csv,3,"[128, 64, 32]",0.0001,100,64,219.141965,2025-04-09 17:21:17,0.024650499256781488,0.07223523066345565,0.9970261075856837
model_2D_002__250409_172452,2D_002.csv,3,"[64, 64, 32]",0.001,50,32,211.885069,2025-04-09 17:24:52,0.025158490289520857,0.07381023605099699,0.9968950092283867
model_2D_002__250409_172645,2D_002.csv,3,"[64, 64, 32]",0.001,50,64,110.781963,2025-04-09 17:26:45,0.024394442851998606,0.07221289983744651,0.9970279460018842
model_2D_002__250409_203254,2D_002.csv,3,"[64, 32, 16]",0.001,100,64,161.016345,2025-04-09 20:32:54,0.020587552138936614,0.06989276972847254,0.9972158564250606
model_2D_002__250409_203532,2D_002.csv,3,"[128, 64, 32]",0.0001,50,32,157.592691,2025-04-09 20:35:32,0.03560789999178561,0.07727270649463926,0.9965968634702279
model_2D_002__250409_204037,2D_002.csv,2,"[256, 128]",0.0005,100,32,305.281757,2025-04-09 20:40:37,0.021232081336225235,0.07184845264670064,0.9970578692835039
