model_name,data_file,num_layers,layer_sizes,learning_rate,epochs,batch_size,training_duration,trained_at,mae,rmse,r2,test_size,random_seed,activation,loss_function,optimizer,dropout_rate,early_stopping,scaler_type,train_size,num_parameters
model_2D_002__250408_172529,2D_002.csv,3,"[64, 32, 16]",0.001,1,32,7.074553,2025-04-08 17:25:29,0.0556807658265887,0.1339019621200097,0.9897811739326786,0.2,42,relu,mse,Adam,,,StandardScaler,0.8,3073.0
model_2D_002__250408_172924,2D_002.csv,3,"[64, 32, 16]",0.001,1,32,5.248043,2025-04-08 17:29:24,0.0776109133746167,0.148531766362232,0.987426221173347,0.2,42,relu,mse,Adam,,,StandardScaler,0.8,3073.0
model_2D_002__250409_165344,2D_002.csv,3,"[128, 64, 32]",0.001,50,32,176.442042,2025-04-09 16:53:44,0.0222757815660639,0.0719159171729954,0.9970523414638516,0.2,42,relu,mse,Adam,,,StandardScaler,0.8,11265.0
model_2D_002__250409_165507,2D_002.csv,3,"[128, 64, 32]",0.001,50,64,81.287271,2025-04-09 16:55:07,0.0229756175850011,0.0719743780362563,0.9970475471787908,0.2,42,relu,mse,Adam,,,StandardScaler,0.8,11265.0
model_2D_002__250409_170118,2D_002.csv,3,"[128, 64, 32]",0.001,100,32,368.380736,2025-04-09 17:01:18,0.0221551506267896,0.0724999190912733,0.997004273445494,0.2,42,relu,mse,Adam,,,StandardScaler,0.8,11265.0
model_2D_002__250409_170459,2D_002.csv,3,"[128, 64, 32]",0.001,100,64,218.241209,2025-04-09 17:04:59,0.0219753409933317,0.0720823283382525,0.9970386841029,0.2,42,relu,mse,Adam,,,StandardScaler,0.8,11265.0
model_2D_002__250409_170834,2D_002.csv,3,"[128, 64, 32]",0.0001,50,32,211.462746,2025-04-09 17:08:34,0.0302085763364259,0.0748341475449668,0.9968082655073932,0.2,42,relu,mse,Adam,,,StandardScaler,0.8,11265.0
model_2D_002__250409_171028,2D_002.csv,3,"[128, 64, 32]",0.0001,50,64,110.883825,2025-04-09 17:10:28,0.0265875148235483,0.0724049860707988,0.9970121136521694,0.2,42,relu,mse,Adam,,,StandardScaler,0.8,11265.0
model_2D_002__250409_171734,2D_002.csv,3,"[128, 64, 32]",0.0001,100,32,422.753851,2025-04-09 17:17:34,0.0259136086433964,0.0735224168348343,0.9969191775182066,0.2,42,relu,mse,Adam,,,StandardScaler,0.8,11265.0
model_2D_002__250409_172117,2D_002.csv,3,"[128, 64, 32]",0.0001,100,64,219.141965,2025-04-09 17:21:17,0.0246504992567814,0.0722352306634556,0.9970261075856836,0.2,42,relu,mse,Adam,,,StandardScaler,0.8,11265.0
