W_mem,W_GDE,T,sigmas_MGL370,sigmas_SS316L,eps_H2,eps_O2,v_in_H2,v_in_O2,p_gas,i0_ref_O2,i0_ref_H2
7.0617e-05[m],0.000343791[m],48.8955[degC],2.9083e+07[S/m],96786.2[S/m],0.6031749561242999,0.7001070946105005,0.00405634[m/s],0.00250873[m/s],749898[Pa],3.66083[A/m^2],0.0614114[A/m^2]
8.6806e-05[m],0.000398695[m],61.7767[degC],4.26116e+06[S/m],787389[S/m],0.6623075888417705,0.6101727846664259,0.00326476[m/s],0.00439164[m/s],7.83972e+06[Pa],4.35711[A/m^2],0.0757578[A/m^2]
6.2165e-05[m],0.000321398[m],56.7454[degC],2.20902e+07[S/m],1.15954e+06[S/m],0.7737814499149259,0.7282369046007365,0.00466364[m/s],0.00532083[m/s],5.65699e+06[Pa],4.07723[A/m^2],0.0699296[A/m^2]
3.81268e-05[m],0.000352164[m],76.8606[degC],1.48235e+07[S/m],1.08057e+06[S/m],0.6216720502384669,0.7998574633326287,0.00158681[m/s],0.00301955[m/s],9.51171e+06[Pa],5.25622[A/m^2],0.0949876[A/m^2]
5.17849e-05[m],0.000577233[m],62.8031[degC],3.53205e+07[S/m],197262[S/m],0.6308800682822652,0.7516034356696263,0.00181828[m/s],0.00307246[m/s],918834[Pa],4.41544[A/m^2],0.0769825[A/m^2]
5.74897e-05[m],0.000300704[m],58.5002[degC],4.67678e+07[S/m],503830[S/m],0.7054146322409591,0.7722880743890096,0.00393705[m/s],0.0042496[m/s],8.35716e+06[Pa],4.1737[A/m^2],0.0719295[A/m^2]
4.73292e-05[m],0.000219173[m],47.2367[degC],2.76899e+07[S/m],739543[S/m],0.6063674653813788,0.7548534875034768,0.00282973[m/s],0.00234082[m/s],8.81485e+06[Pa],3.57601[A/m^2],0.0597[A/m^2]
8.56486e-05[m],0.00053676[m],40.945[degC],7.76085e+06[S/m],1.60821e+06[S/m],0.6104453985127736,0.7240839451139379,0.00243583[m/s],0.00341157[m/s],3.53952e+06[Pa],3.26445[A/m^2],0.0534859[A/m^2]
8.50798e-05[m],0.000421697[m],63.5554[degC],1.86934e+07[S/m],1.35859e+06[S/m],0.723719900907384,0.6626355096297647,0.00506482[m/s],0.00362265[m/s],4.5554e+06[Pa],4.45847[A/m^2],0.0778878[A/m^2]
7.85367e-05[m],0.000595454[m],52.6304[degC],4.58736e+07[S/m],49713.7[S/m],0.6791188059106394,0.7907590875711902,0.00321649[m/s],0.00352504[m/s],6.81529e+06[Pa],3.85585[A/m^2],0.0653775[A/m^2]
5.01187e-05[m],0.000435104[m],71.469[degC],4.82867e+07[S/m],379603[S/m],0.7245773623737907,0.7839844266777389,0.00315835[m/s],0.00243242[m/s],8.13341e+06[Pa],4.92459[A/m^2],0.0878091[A/m^2]
5.8439e-05[m],0.000270232[m],45.16[degC],3.67606e+07[S/m],826008[S/m],0.7456084461338597,0.6557156224911249,0.004375[m/s],0.0039242[m/s],244750[Pa],3.4714[A/m^2],0.0576006[A/m^2]
5.4759e-05[m],0.00045787[m],66.069[degC],5.10846e+07[S/m],556968[S/m],0.7902348102367658,0.6804774601246812,0.0021366[m/s],0.00466231[m/s],6.09551e+06[Pa],4.60384[A/m^2],0.0809603[A/m^2]
6.08107e-05[m],0.00058992[m],72.498[degC],3.35145e+07[S/m],310222[S/m],0.7370469397279942,0.7580314460178622,0.00384754[m/s],0.00544465[m/s],7.34766e+06[Pa],4.98701[A/m^2],0.0891529[A/m^2]
