W_mem,W_GDE,T,sigmas_MGL370,sigmas_SS316L,eps_H2,eps_O2,v_in_H2,v_in_O2,p_gas,i0_ref_O2,i0_ref_H2
8.12909e-05[m],0.00056933[m],66.5948[degC],4.80462e+07[S/m],613359[S/m],0.7549294539274187,0.6259380181452274,0.00279099[m/s],0.00426701[m/s],3.82712e+06[Pa],0.0458587[A/m^2],0.0354841[A/m^2]
4.55127e-05[m],0.000499753[m],50.543[degC],1.57182e+07[S/m],50035.1[S/m],0.6456919260324809,0.6638552580062991,0.00143271[m/s],0.00269772[m/s],2.4255e+06[Pa],0.0370669[A/m^2],0.0274529[A/m^2]
7.8533e-05[m],0.00051437[m],41.3509[degC],6.71466e+06[S/m],741865[S/m],0.6878772420827941,0.7998231954568402,0.00268922[m/s],0.0053855[m/s],8.48781e+06[Pa],0.0324941[A/m^2],0.0234231[A/m^2]
4.20551e-05[m],0.000340984[m],40.1109[degC],4.05802e+07[S/m],724916[S/m],0.7334343747815268,0.7658175158940198,0.00311022[m/s],0.00464092[m/s],2.51301e+06[Pa],0.0319031[A/m^2],0.0229105[A/m^2]
7.4782e-05[m],0.000299467[m],67.2483[degC],3.85542e+07[S/m],1.20478e+06[S/m],0.7826515516458472,0.787582338352267,0.00532676[m/s],0.0043581[m/s],3.01539e+06[Pa],0.0462382[A/m^2],0.0358384[A/m^2]
3.97612e-05[m],0.000216379[m],71.1252[degC],3.66086e+07[S/m],1.35205e+06[S/m],0.657030675298313,0.7078806774700948,0.0023472[m/s],0.00514659[m/s],4.72982e+06[Pa],0.0485234[A/m^2],0.0379846[A/m^2]
4.71238e-05[m],0.000442769[m],54.7897[degC],1.19017e+07[S/m],366184[S/m],0.6446952892999374,0.6167054459338882,0.00157799[m/s],0.00427725[m/s],6.85195e+06[Pa],0.0392936[A/m^2],0.0294532[A/m^2]
3.58901e-05[m],0.000230694[m],54.7346[degC],1.61734e+07[S/m],791109[S/m],0.7915522942339838,0.6869441872296739,0.00262201[m/s],0.00490971[m/s],9.54263e+06[Pa],0.0392642[A/m^2],0.0294267[A/m^2]
7.20414e-05[m],0.000387276[m],39.1952[degC],4.65705e+07[S/m],709241[S/m],0.7099203847663672,0.6682330143554067,0.00407243[m/s],0.0049915[m/s],5.36263e+06[Pa],0.0314707[A/m^2],0.0225366[A/m^2]
4.50164e-05[m],0.000504598[m],47.4979[degC],3.60051e+07[S/m],462899[S/m],0.6128983738881902,0.6461779741859799,0.00325853[m/s],0.00504459[m/s],4.44905e+06[Pa],0.0355146[A/m^2],0.0260727[A/m^2]
5.29749e-05[m],0.000283503[m],59.354[degC],3.83394e+07[S/m],34337.1[S/m],0.7618377490375826,0.6428756971719082,0.0016901[m/s],0.00236631[m/s],8.46246e+06[Pa],0.0417667[A/m^2],0.0317025[A/m^2]
6.07196e-05[m],0.000575587[m],55.2382[degC],5.27889e+07[S/m],545499[S/m],0.6249113835527286,0.6241804102750593,0.00399272[m/s],0.00229406[m/s],6.64017e+06[Pa],0.0395329[A/m^2],0.0296697[A/m^2]
7.71068e-05[m],0.000300728[m],36.1789[degC],2.24172e+06[S/m],637845[S/m],0.7070998855436762,0.7184466595555048,0.00538619[m/s],0.00556455[m/s],9.75452e+06[Pa],0.0300702[A/m^2],0.021333[A/m^2]
3.12803e-05[m],0.000318602[m],39.4982[degC],4.7409e+07[S/m],936733[S/m],0.6848314350147718,0.6986990105140484,0.0054897[m/s],0.00407039[m/s],9.64781e+06[Pa],0.0316134[A/m^2],0.0226599[A/m^2]
7.07094e-05[m],0.000372442[m],52.524[degC],1.06759e+07[S/m],871692[S/m],0.725586267421731,0.6511028501804458,0.00213482[m/s],0.00276098[m/s],4.09705e+06[Pa],0.0380967[A/m^2],0.028375[A/m^2]
4.12983e-05[m],0.000277436[m],73.5392[degC],2.27222e+06[S/m],977923[S/m],0.7657556615970409,0.7051275976758704,0.0033714[m/s],0.00508183[m/s],7.64447e+06[Pa],0.0499758[A/m^2],0.0393595[A/m^2]
3.6053e-05[m],0.000586973[m],58.6556[degC],1.7393e+07[S/m],626826[S/m],0.7884591842708142,0.7616638367163546,0.00515402[m/s],0.00274321[m/s],2.69734e+06[Pa],0.0413829[A/m^2],0.0313516[A/m^2]
6.89986e-05[m],0.000559377[m],56.9585[degC],2.96516e+07[S/m],478954[S/m],0.7770038811713891,0.6792873674097786,0.00272948[m/s],0.00258984[m/s],802658[Pa],0.0404584[A/m^2],0.0305091[A/m^2]
5.50014e-05[m],0.000472926[m],47.0333[degC],4.29607e+07[S/m],1.04141e+06[S/m],0.7760109916777467,0.7019879877819337,0.00154092[m/s],0.00452171[m/s],2.24576e+06[Pa],0.035281[A/m^2],0.0258661[A/m^2]
4.75508e-05[m],0.000572464[m],49.2201[degC],1.91768e+07[S/m],1.24967e+06[S/m],0.6252903489202283,0.725845444329052,0.0036122[m/s],0.00334837[m/s],5.87573e+06[Pa],0.036388[A/m^2],0.0268477[A/m^2]
4.91187e-05[m],0.000229602[m],64.1454[degC],1.92701e+07[S/m],1.57753e+06[S/m],0.7024062296729008,0.662068470291832,0.00170082[m/s],0.00238639[m/s],5.37542e+06[Pa],0.0444515[A/m^2],0.0341754[A/m^2]
6.8181e-05[m],0.00033567[m],35.6596[degC],5.7825e+06[S/m],1.16641e+06[S/m],0.6544248285578536,0.7252772162550782,0.00485217[m/s],0.00300888[m/s],6.98442e+06[Pa],0.0298327[A/m^2],0.0211301[A/m^2]
7.81113e-05[m],0.00046091[m],32.5991[degC],3.88027e+07[S/m],1.31642e+06[S/m],0.6269121039624617,0.7510600537119602,0.00486391[m/s],0.00252622[m/s],1.21933e+06[Pa],0.0284555[A/m^2],0.0199596[A/m^2]
5.74347e-05[m],0.000217949[m],60.5981[degC],4.97429e+07[S/m],270342[S/m],0.7894169104193207,0.6958694855522762,0.0038193[m/s],0.00440792[m/s],7.97856e+06[Pa],0.0424551[A/m^2],0.0323335[A/m^2]
7.52056e-05[m],0.000483656[m],32.1391[degC],3.64967e+07[S/m],1.12413e+06[S/m],0.7520773038866214,0.6252010068048081,0.00392525[m/s],0.00281404[m/s],4.18914e+06[Pa],0.0282517[A/m^2],0.0197874[A/m^2]
5.19349e-05[m],0.000327035[m],78.1944[degC],3.34541e+07[S/m],965947[S/m],0.6028267266389523,0.7935583887380357,0.00280835[m/s],0.00372035[m/s],1.12826e+06[Pa],0.0528399[A/m^2],0.042095[A/m^2]
3.91992e-05[m],0.000224678[m],55.853[degC],4.34173e+06[S/m],827313[S/m],0.7026719371990955,0.7850243585095176,0.00420929[m/s],0.00381754[m/s],2.27649e+06[Pa],0.0398623[A/m^2],0.029968[A/m^2]
8.60856e-05[m],0.000406448[m],52.3316[degC],2.04459e+07[S/m],1.10709e+06[S/m],0.7344809857263328,0.6607594519356782,0.0038487[m/s],0.00437117[m/s],2.35179e+06[Pa],0.037996[A/m^2],0.0282846[A/m^2]
6.68929e-05[m],0.000439599[m],39.893[degC],3.49378e+07[S/m],1.30116e+06[S/m],0.645809695170192,0.6728320434705832,0.00412685[m/s],0.00297373[m/s],2.36897e+06[Pa],0.0318[A/m^2],0.0228212[A/m^2]
3.9288e-05[m],0.000550208[m],51.1151[degC],2.91851e+07[S/m],1.16752e+06[S/m],0.6187525249031457,0.7777494116228758,0.00384618[m/s],0.0053758[m/s],401513[Pa],0.0373627[A/m^2],0.0277172[A/m^2]
8.3959e-05[m],0.000545579[m],70.717[degC],5.11328e+07[S/m],803834[S/m],0.7019478774189367,0.7906855817799955,0.00524501[m/s],0.00551391[m/s],6.82843e+06[Pa],0.04828[A/m^2],0.037755[A/m^2]
3.49705e-05[m],0.000392996[m],68.7899[degC],566667[S/m],1.39565e+06[S/m],0.6890170395602531,0.7208463152540558,0.00254752[m/s],0.00428166[m/s],3.79715e+06[Pa],0.0471398[A/m^2],0.0366826[A/m^2]
4.992e-05[m],0.000211905[m],33.7226[degC],4.05136e+07[S/m],28265[S/m],0.6351125650289328,0.7557073969924516,0.00196122[m/s],0.00368809[m/s],9.18643e+06[Pa],0.0289567[A/m^2],0.0203843[A/m^2]
3.45214e-05[m],0.000203459[m],70.7632[degC],7.29464e+06[S/m],565172[S/m],0.7806257309926034,0.6270350770591189,0.00239387[m/s],0.00455826[m/s],1.05414e+06[Pa],0.0483076[A/m^2],0.037781[A/m^2]
8.06924e-05[m],0.000239829[m],63.5484[degC],1.58559e+07[S/m],700791[S/m],0.7995987257727719,0.7166280956000007,0.00558529[m/s],0.00231049[m/s],9.69907e+06[Pa],0.044112[A/m^2],0.033861[A/m^2]
6.05527e-05[m],0.000514036[m],53.5009[degC],2.16661e+07[S/m],407764[S/m],0.6531657465941788,0.6225335129697046,0.00371245[m/s],0.00429393[m/s],5.44867e+06[Pa],0.0386102[A/m^2],0.0288368[A/m^2]
6.10408e-05[m],0.000360505[m],37.5287[degC],3.72863e+07[S/m],238901[S/m],0.713958457408183,0.6506056792546622,0.00426[m/s],0.00362012[m/s],2.42196e+06[Pa],0.0306924[A/m^2],0.0218664[A/m^2]
3.32374e-05[m],0.000317412[m],51.3804[degC],3.05136e+07[S/m],178678[S/m],0.7148319917536312,0.7185939034602671,0.00311793[m/s],0.00418538[m/s],3.22739e+06[Pa],0.0375003[A/m^2],0.0278403[A/m^2]
6.90286e-05[m],0.000223599[m],44.1664[degC],3.19796e+07[S/m],1.69352e+06[S/m],0.7623803390696707,0.7933066110289759,0.00168186[m/s],0.00469343[m/s],9.66904e+06[Pa],0.0338588[A/m^2],0.0246142[A/m^2]
6.23992e-05[m],0.000584498[m],79.0504[degC],2.54419e+07[S/m],111112[S/m],0.7489026279906178,0.6932746812827457,0.00271392[m/s],0.00438799[m/s],1.45493e+06[Pa],0.0533756[A/m^2],0.0426101[A/m^2]
3.87465e-05[m],0.000590988[m],48.0231[degC],9.57388e+06[S/m],171983[S/m],0.7418335276679224,0.7303632173564736,0.00514908[m/s],0.00237639[m/s],3.71843e+06[Pa],0.0357797[A/m^2],0.0263076[A/m^2]
8.46084e-05[m],0.000583281[m],51.4446[degC],1.43485e+07[S/m],839144[S/m],0.7339321971524501,0.618807907291622,0.00168595[m/s],0.00309797[m/s],5.44652e+06[Pa],0.0375336[A/m^2],0.0278701[A/m^2]
3.41129e-05[m],0.000553482[m],36.8159[degC],3.68009e+07[S/m],908004[S/m],0.7037843038131539,0.7137021362270272,0.00203035[m/s],0.00275168[m/s],8.4515e+06[Pa],0.0303629[A/m^2],0.0215837[A/m^2]
8.50727e-05[m],0.000502728[m],53.7809[degC],9.77041e+06[S/m],1.11416e+06[S/m],0.7910530002996252,0.6811774751001325,0.00238295[m/s],0.00479928[m/s],3.50388e+06[Pa],0.0387581[A/m^2],0.02897[A/m^2]
5.92404e-05[m],0.000249557[m],33.6935[degC],4.43169e+07[S/m],1.11703e+06[S/m],0.6009095763865486,0.6637217291753754,0.00189563[m/s],0.00357587[m/s],5.13774e+06[Pa],0.0289437[A/m^2],0.0203732[A/m^2]
5.75207e-05[m],0.000524834[m],74.9497[degC],9.47743e+06[S/m],253803[S/m],0.7819109745407027,0.7397977841610954,0.00461563[m/s],0.00284544[m/s],9.91965e+06[Pa],0.0508348[A/m^2],0.0401766[A/m^2]
3.36474e-05[m],0.000448755[m],49.9624[degC],1.65765e+07[S/m],592819[S/m],0.6885560444794364,0.7264056686174074,0.00413024[m/s],0.00369939[m/s],6.6926e+06[Pa],0.0367681[A/m^2],0.0271862[A/m^2]
7.19887e-05[m],0.00042115[m],46.4433[degC],2.76579e+07[S/m],682505[S/m],0.7685902892958358,0.7910313455412872,0.00374485[m/s],0.00226247[m/s],3.5797e+06[Pa],0.0349856[A/m^2],0.0256052[A/m^2]
