W_mem,W_GDE,T,sigmas_MGL370,sigmas_SS316L,eps_H2,eps_O2,v_in_H2,v_in_O2,p_gas,i0_ref_O2,i0_ref_H2
8.10234e-05[m],0.000516587[m],30.9986[degC],4.10698e+07[S/m],138514[S/m],0.6007552731191305,0.6322801485674393,0.00270996[m/s],0.00544779[m/s],4.95394e+06[Pa],2.8046831841334,0.04453974552159228
7.50092e-05[m],0.000409197[m],47.9558[degC],3.07787e+06[S/m],1.05743e+06[S/m],0.6615613255896011,0.6900424247803432,0.00314704[m/s],0.00301274[m/s],5.9732e+06[Pa],3.612647062247949,0.060438156647589246
6.37983e-05[m],0.000536048[m],79.9203[degC],3.01617e+07[S/m],514685[S/m],0.6569323019513758,0.694319436956025,0.00221707[m/s],0.00410966[m/s],4.05335e+06[Pa],5.449426105451006,0.09921333070073084
5.92722e-05[m],0.000394171[m],76.7271[degC],5.27316e+07[S/m],751818[S/m],0.7353855210026545,0.6297002528107176,0.00441506[m/s],0.00347303[m/s],9.78868e+06[Pa],5.247871333501907,0.09480573805341808
5.06179e-05[m],0.000505239[m],43.1903[degC],3.00957e+07[S/m],1.15167e+06[S/m],0.6431087933674238,0.790128968109349,0.00155772[m/s],0.00462605[m/s],4.47623e+06[Pa],3.3737981773154098,0.05565348163751347
4.36318e-05[m],0.000241601[m],52.0272[degC],2.84114e+07[S/m],1.71473e+06[S/m],0.7741954546113712,0.7119487644057753,0.00541054[m/s],0.00287716[m/s],2.219e+06[Pa],3.823974946486416,0.06472631130364762
8.74547e-05[m],0.000541308[m],42.9587[degC],1.27325e+06[S/m],727116[S/m],0.6639537063861682,0.655502827008264,0.00375389[m/s],0.0050207[m/s],7.37067e+06[Pa],3.36242332058587,0.05542731438670843
6.16949e-05[m],0.000318949[m],38.9458[degC],2.58795e+07[S/m],1.70616e+06[S/m],0.7737464378475353,0.6593474987021001,0.00428043[m/s],0.00398461[m/s],8.97076e+06[Pa],3.168815689751694,0.051602288194826505
3.92137e-05[m],0.000314328[m],74.2412[degC],4.36644e+07[S/m],462838[S/m],0.7844255502210667,0.7127260301620654,0.00429323[m/s],0.00300943[m/s],3.22286e+06[Pa],5.093692251066653,0.0914575241323
6.99668e-05[m],0.000464454[m],68.8797[degC],4.9631e+07[S/m],1.60172e+06[S/m],0.7081393034814625,0.7914709773656808,0.00507553[m/s],0.00306363[m/s],4.21135e+06[Pa],4.769358171947975,0.08448264589649564
7.37385e-05[m],0.000265533[m],46.3552[degC],9.40192e+06[S/m],603850[S/m],0.7284546252399737,0.7421893927867433,0.0053648[m/s],0.00457499[m/s],4.46653e+06[Pa],3.531397492795795,0.058803012710352154
4.01179e-05[m],0.000217148[m],51.841[degC],1.13089e+06[S/m],1.2527e+06[S/m],0.6070633435763428,0.6100805989277134,0.00336275[m/s],0.00356469[m/s],1.01206e+07[Pa],3.814165133031371,0.06452615318926334
7.50401e-05[m],0.000452835[m],42.8403[degC],3.25457e+07[S/m],1.01495e+06[S/m],0.7795058790196568,0.769479772844204,0.00461058[m/s],0.00264579[m/s],7.07296e+06[Pa],3.356620431018747,0.05531199563100847
4.31315e-05[m],0.000367146[m],66.0904[degC],4.41395e+07[S/m],1.54217e+06[S/m],0.7020815811073571,0.6936299586207966,0.0031385[m/s],0.00412064[m/s],6.6194e+06[Pa],4.605092186466384,0.08098673271935161
8.83179e-05[m],0.000503734[m],74.9074[degC],4.636e+07[S/m],1.46658e+06[S/m],0.6133221863768057,0.6380623169467345,0.00523637[m/s],0.00474248[m/s],3.53624e+06[Pa],5.134774706335823,0.09234767562520545
8.57098e-05[m],0.000498025[m],57.7123[degC],1.33576e+06[S/m],343852[S/m],0.6281199342438684,0.6494289338141128,0.00559273[m/s],0.00357013[m/s],9.33584e+06[Pa],4.13022841278526,0.07102716227882325
5.97955e-05[m],0.00030246[m],71.9443[degC],2.87964e+07[S/m],869345[S/m],0.750911420894721,0.6535066354274176,0.00436917[m/s],0.00271368[m/s],6.32243e+06[Pa],4.9533703906384305,0.08842829803378771
5.03146e-05[m],0.000578243[m],57.6583[degC],1.15862e+06[S/m],240765[S/m],0.6171949793018632,0.6374668619768626,0.00503042[m/s],0.00516842[m/s],9.58928e+06[Pa],4.127259509807316,0.07096560553749037
8.2672e-05[m],0.000213173[m],40.01[degC],2.7321e+07[S/m],1.39988e+06[S/m],0.7557107451806456,0.7053309387526865,0.00487835[m/s],0.00268969[m/s],8.13664e+06[Pa],3.219520507934652,0.05259951491769301
4.31923e-05[m],0.000365971[m],70.5242[degC],3.63642e+07[S/m],414174[S/m],0.657618169255214,0.72642591402977,0.00343012[m/s],0.00353029[m/s],649455[Pa],4.867642582661908,0.08658627109201064
8.90174e-05[m],0.00054973[m],38.1937[degC],3.3517e+07[S/m],1.60849e+06[S/m],0.6256870774359851,0.6390113169509979,0.00295056[m/s],0.00517804[m/s],9.57022e+06[Pa],3.1332548093473065,0.05090485497092798
