W_mem,W_GDE,T,sigmas_MGL370,sigmas_SS316L,eps_H2,eps_O2,v_in_H2,v_in_O2,p_gas,i0_ref_O2,i0_ref_H2
7.41975e-05[m],0.000576173[m],60.2863[degC],1.00604e+07[S/m],1.38405e+06[S/m],0.7434442855417729,0.6660908436402678,0.00281167[m/s],0.00368719[m/s],7.21709e+06[Pa],4.27315[A/m^2],0.0740011[A/m^2]
4.46659e-05[m],0.000312779[m],41.1005[degC],3.63223e+07[S/m],448040[S/m],0.6204362537711858,0.7565203340724111,0.0038657[m/s],0.00477349[m/s],1.1802e+06[Pa],3.27196[A/m^2],0.0536342[A/m^2]
5.80485e-05[m],0.000411217[m],75.8156[degC],1.94963e+07[S/m],375042[S/m],0.6633778948336839,0.6290808258578181,0.00484237[m/s],0.00460192[m/s],2.64585e+06[Pa],5.19106[A/m^2],0.0935696[A/m^2]
8.75794e-05[m],0.000299611[m],44.3235[degC],4.58542e+07[S/m],1.25789e+06[S/m],0.7974028199911118,0.7452911967411637,0.00168834[m/s],0.00262632[m/s],9.4663e+06[Pa],3.42976[A/m^2],0.0567685[A/m^2]
7.9112e-05[m],0.000486819[m],32.4897[degC],5.34062e+07[S/m],927166[S/m],0.7117558017373085,0.6125828102231026,0.00535114[m/s],0.00423979[m/s],2.36262e+06[Pa],2.87105[A/m^2],0.0458136[A/m^2]
4.95804e-05[m],0.000224206[m],64.2729[degC],2.67315e+07[S/m],69087.5[S/m],0.6271468613296747,0.7100435514003038,0.00219711[m/s],0.00296059[m/s],6.04355e+06[Pa],4.49971[A/m^2],0.0787574[A/m^2]
3.6259e-05[m],0.000500766[m],54.4604[degC],2.89775e+07[S/m],778865[S/m],0.6824474077671766,0.676351011544466,0.00335322[m/s],0.00315511[m/s],8.1247e+06[Pa],3.95346[A/m^2],0.0673782[A/m^2]
6.57899e-05[m],0.000388379[m],73.5499[degC],2.20374e+06[S/m],1.68991e+06[S/m],0.7533050797879697,0.7980301331728697,0.00440725[m/s],0.00533015[m/s],3.97367e+06[Pa],5.05124[A/m^2],0.0905392[A/m^2]
6.27515e-05[m],0.000445648[m],49.3077[degC],2.34796e+07[S/m],643460[S/m],0.7816780732944608,0.6000277543440461,0.005099[m/s],0.00407066[m/s],9.79611e+06[Pa],3.68208[A/m^2],0.0618414[A/m^2]
3.22824e-05[m],0.000259152[m],67.7186[degC],5.01575e+07[S/m],1.40078e+06[S/m],0.6540988272055983,0.7224888889119029,0.00194498[m/s],0.00273794[m/s],3.60743e+06[Pa],4.70061[A/m^2],0.0830164[A/m^2]
4.51194e-05[m],0.000566962[m],33.7785[degC],5.66278e+06[S/m],1.11556e+06[S/m],0.6109626365825533,0.6887955846264958,0.00308472[m/s],0.00337924[m/s],184180[Pa],2.92914[A/m^2],0.0469335[A/m^2]
7.55879e-05[m],0.000328458[m],64.4955[degC],3.24333e+07[S/m],305271[S/m],0.7279156142845751,0.7854758387431503,0.00413875[m/s],0.00550088[m/s],6.84304e+06[Pa],4.51255[A/m^2],0.0790284[A/m^2]
8.40577e-05[m],0.000541252[m],77.9406[degC],3.94926e+07[S/m],184904[S/m],0.7625845381990075,0.6535480421036481,0.00257569[m/s],0.00388249[m/s],4.93189e+06[Pa],5.324[A/m^2],0.0964666[A/m^2]
5.35886e-05[m],0.000353975[m],46.9326[degC],1.32339e+07[S/m],1.0235e+06[S/m],0.6981717644259333,0.768977925926447,0.00362971[m/s],0.00502221[m/s],8.46094e+06[Pa],3.56059[A/m^2],0.0593896[A/m^2]
4.06882e-05[m],0.000471163[m],55.9698[degC],4.24768e+07[S/m],1.52104e+06[S/m],0.6426751425489783,0.6415376532822847,0.0045572[m/s],0.0043514[m/s],5.67287e+06[Pa],4.03498[A/m^2],0.0690569[A/m^2]
7.11566e-05[m],0.00023344[m],37.6556[degC],1.61157e+07[S/m],735628[S/m],0.7212298097088933,0.7327491566538811,0.00140316[m/s],0.00242933[m/s],1.36017e+06[Pa],3.10795[A/m^2],0.0504096[A/m^2]
6.80952e-05[m],0.000453214[m],70.4961[degC],2.80539e+07[S/m],1.20391e+06[S/m],0.6931361481547356,0.7539763921871782,0.00472142[m/s],0.00279504[m/s],6.25346e+06[Pa],4.86596[A/m^2],0.0865501[A/m^2]
3.76267e-05[m],0.000242011[m],51.2055[degC],1.69005e+06[S/m],415909[S/m],0.7707199756056071,0.6701867518946528,0.00156738[m/s],0.00398579[m/s],2.10236e+06[Pa],3.78078[A/m^2],0.0638458[A/m^2]
